platform,search_term,product_name,brand,price_inr,mrp_inr,discount_pct,price_tier,rating,review_count,scraped_at
Flipkart,perfume,Yardley London Gentleman CLASSIC (Daily Wear) Perfume Eau de Toilette  -  100 ml,Yardley,333.0,,,Budget,4.1,,2026-04-24 14:16:12.642120+00:00
Flipkart,perfume,BELLAVITA MYSTIC BLOOM Perfume for Women|Floral & Musky Notes|Long Lasting Fragrance| Eau de Parfum  -  100 ml,BELLAVITA,349.0,,,Budget,4.4,,2026-04-24 14:16:12.642798+00:00
Flipkart,perfume,RAMSONS La Opale (Authentic) Eau de Parfum  -  100 ml,RAMSONS,260.0,,,Budget,4.1,,2026-04-24 14:16:12.643453+00:00
Flipkart,perfume,Fien by mCaffeine Written By Women | Perfume Gift Set| 12 Hrs Long Lasting EDP Eau de Parfum  -  80 ml,Fien,539.0,,,Mid-range,4.2,,2026-04-24 14:16:12.644701+00:00
Flipkart,perfume,"BEARDO Godfather Perfume-Premium, Strong and Long Lasting Fragrance-Aromatic-Gift Eau de Parfum  -  100 ml",BEARDO,556.0,,,Mid-range,4.2,,2026-04-24 14:16:12.645759+00:00
Flipkart,perfume,HAVOC GOLD PERFUME MOST SELLING PRODUCT Eau de Toilette  -  75 ml,HAVOC,580.0,,,Mid-range,4.2,,2026-04-24 14:16:12.646478+00:00
Flipkart,perfume,PARK AVENUE Euphoria Eau de Parfum Eau de Parfum  -  100 ml,PARK,417.0,,,Budget,4.3,,2026-04-24 14:16:12.647200+00:00
Flipkart,perfume,"Adilqadri AQ 365 Perfume, French & Fruity Long Lasting Scent Eau de Parfum  -  30 ml",Adilqadri,359.0,,,Budget,4.2,,2026-04-24 14:16:12.647935+00:00
Amazon.in,perfume,"Wild Stone Oud Perfume for Men, 100ml | Luxury Eau De Parfum | Long-Lasting Oud Perfume | Premium Woody Oriental Perfume for Men | Best Gift for Him",Wild,422.0,,,Budget,,,2026-04-24 14:18:06.156178+00:00
Amazon.in,perfume,"Engage Brazilian Maracuja Wine Eau De Parfum for Women 50ml, Long Lasting Perfume for Woman, Musk & Vanilla Fragrance Scents, Luxury Perfume for Woman, Premium Parfum Gifts for Women",Engage,368.0,,,Budget,,,2026-04-24 14:18:06.157788+00:00
Amazon.in,perfume,"BELLAVITA Gourmet Collection Vanilla | Long Lasting Perfume for Man and Woman | EDP 100ml | Musk, Fruity Premium Unisex Fragrance for Men and Women",BELLAVITA,599.0,,,Mid-range,,,2026-04-24 14:18:06.158753+00:00
Amazon.in,perfume,"Engage Perfume Gift Set for Women, 100ml, Luxury Long Lasting Eau De Parfum, Travel Size Perfume Combo 25ml x 4, Ideal Gift for Women",Engage,399.0,899.0,55.6,Budget,,,2026-04-24 14:18:06.159070+00:00
Amazon.in,perfume,NIKE N150 Sweet Emotion EDT 150ml - Captivating Floral-Musky Perfume for Women,NIKE,199.0,,,Budget,,,2026-04-24 14:18:06.160642+00:00
Amazon.in,perfume,Tom Ford Unisex Adult Blend Oud Wood Eau De Parfum Spray (100 Ml),Tom,32350.0,323.5,-9900.0,Luxury,,,2026-04-24 14:18:06.160959+00:00
Amazon.in,perfume,"Denver Imperial, Caliber & Pride Perfume For Men - 100 ML Each, Pack of 3 | Long Lasting Fragrance | Eau De Parfum",Denver,999.0,,,Mid-range,,,2026-04-24 14:18:06.165128+00:00
Amazon.in,perfume,"Set Wet Ice Perfume for Men, 100ml|Citrusy Long Lasting Perfume for Men|Gift for Men|Best Everyday Fragrance",Set,175.0,,,Budget,,,2026-04-24 14:18:06.165677+00:00
Amazon.in,perfume,"Secret Temptation Dream Eau De Parfum for Women, Long Lasting Floral and Fruity Office Wear Fragrance, 50ml",Secret,199.0,,,Budget,,,2026-04-24 14:18:06.166058+00:00
Amazon.in,perfume,"Calvin Klein Eternity EDT Spray for Men, 100ml",Calvin,5845.0,58.45,-9900.0,Premium,,,2026-04-24 14:18:06.166455+00:00
Amazon.in,perfume,Vokka Oud 100 ml | Unisex Luxury Long Lasting Smokey Perfume For Men And Women | Woody Pleasant Scent Eau De Parfum | EDP Fragrance for Gift | Notes: Spicy Sandalwood Agarwood,Vokka,189.0,,,Budget,,,2026-04-24 14:18:06.166829+00:00
Amazon.in,perfume,DUCHMAN Long Lasting Best Fragrance'S With Ferrary Perfume |Unisex Perfume 60ML| Eau de Parfum - 60 ml (For Men & Women),DUCHMAN,120.0,,,Budget,,,2026-04-24 14:18:06.167228+00:00
Amazon.in,perfume,"Calvin Klein Unisex Adult Aromatic Musk Be Edt Spray, 200Ml",Calvin,5665.0,,,Premium,,,2026-04-24 14:18:06.167602+00:00
Amazon.in,perfume,Yardley London Gentleman Classy Musk Body Perfume| The Elite Collection No Gas Deodorant Spray For Men| Men's Body Perfume| 120Ml,Yardley,139.0,,,Budget,,,2026-04-24 14:18:06.168356+00:00
Amazon.in,perfume,Perfume: The Story of a Murderer (Penguin Essentials),Perfume:,247.18,,,Budget,,,2026-04-24 14:18:06.168667+00:00
Amazon.in,perfume,ROZARK Long Lasting Fresh Lavender Sat Fragrance Perfume-9 ml,ROZARK,48496.0,5388.44,-800.0,Luxury,,,2026-04-24 14:18:06.169068+00:00
Amazon.in,perfume,"Azzaro The Most Wanted Eau de Parfum Intense 50 ml - Woody & Seductive Mens Cologne - Fougère, Ambery & Spicy Fragrance for Date Night - Lasting Wear - Luxury Perfumes for Men",Azzaro,6615.0,132.3,-4900.0,Luxury,,,2026-04-24 14:18:06.169463+00:00
Amazon.in,perfume,Perfume of a Millionaire: Tommy Holger,Perfume,,,,Unknown,,,2026-04-24 14:18:06.169766+00:00
Amazon.in,perfume,Christian Dior Sauvage Elixir For Men 100ml (Elixir 100ml),Christian,23000.0,230.0,-9900.0,Luxury,,,2026-04-24 14:18:06.170129+00:00
Amazon.in,perfume,Perfumes: The A-Z Guide,Perfumes:,1692.78,,,Mid-range,,,2026-04-24 14:18:06.170437+00:00
